Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,310,351,3,1,348,343,116.00,345,343,115.00,70,39,23.33,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,40,47,1,1,47,47,47.00,47,47,47.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,40,47,1,1,47,47,47.00,47,47,47.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,40,47,1,1,47,47,47.00,47,47,47.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,39,46,1,1,46,46,46.00,46,46,46.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,40,47,1,1,47,47,47.00,47,47,47.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,118,136,1,1,136,136,136.00,136,136,136.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,235,261,1,1,261,261,261.00,261,261,261.00,33,33,33.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,101,115,2,1,114,113,57.00,113,113,56.50,34,27,17.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,212,298,5,3,278,256,55.60,258,256,51.60,535,207,107.00,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,223,395,13,3,326,176,25.08,257,176,19.77,670,207,51.54,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,224,308,7,3,275,232,39.29,242,232,34.57,600,207,85.71,Yes
