Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/CastEval.java,104,125,2,1,122,119,61.00,119,119,59.50,99,78,49.50,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/ConstEval.java,92,155,5,1,129,125,25.80,103,125,20.60,1481,1118,296.20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalContext.java,20,22,1,1,22,22,22.00,22,22,22.00,1118,1118,1118.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalNode.java,108,240,6,1,179,155,29.83,118,155,19.67,1455,1118,242.50,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalNodeVisitor.java,22,24,2,1,24,23,12.00,24,23,12.00,1148,1118,574.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalNodeVisitor2.java,55,123,4,1,94,61,23.50,65,61,16.25,123,52,30.75,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalTreeFactory.java,29,34,2,1,33,32,16.50,32,32,16.00,1213,1118,606.50,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalTreeUtil.java,332,519,9,1,435,353,48.33,351,353,39.00,1710,1118,190.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalType.java,70,128,8,1,105,63,13.13,82,63,10.25,254,95,31.75,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/FieldEval.java,128,167,5,1,153,147,30.60,139,147,27.80,1536,1118,307.20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/FunctionEval.java,146,4,1,1,2,2,2.00,0,0,0,78,78,78.00,Yes
